"","indicator","mean","min","X2.5.","X25.","X50.","X75.","X97.5.","max"
"AgriculturePCT","AgriculturePCT",0.367589828904593,0,0,0,0,0,4.619013864625,46.73533563
"UrbanPCT","UrbanPCT",0.214136910056392,0,0,0,0,0,1.962459036125,39.75607575
"RIPDSTPCT","RIPDSTPCT",14.3070095392767,0,0,0.08368646025,6.793158499,19.811093295,83.62245405625,99.99988728
"Linear_Dev_noRoads","Linear_Dev_noRoads",0.0302223066634871,0,0,0,0,0,0.310514586625,1.497305899
"ForestRoadsDEN_km_km2","ForestRoadsDEN_km_km2",0.10638882392089,0,0,0,0.011910982,0.1349577555,0.65898082975,2.112897458
"NonForestRoadsDEN_km_km2","NonForestRoadsDEN_km_km2",0.899262444471848,0,0,7.937185e-07,0.5901211875,1.57891867325,3.030271782375,5.801199815
"STRMXDEN","STRMXDEN",0.3331414463689,0,0,0,0.1245598755,0.4580314325,1.519548523625,45.48793638
"FORDST_PCT","FORDST_PCT",12.1484724970933,0,0,0,6.114190957,19.76715105,51.7932335325,87.71606046
"ECAPCT","ECAPCT",10.0131163143378,0,0,0.08849231125,5.3742738015,15.903646145,41.8401313375,81.18513118
"MPB_pct","MPB_pct",7.6894310034028,0,0,0,0.1245832095,9.96991694875,46.9081954925,84.48564024
